parent_qcode,parent_label,child_qcode,child_label,parent_definition,child_definition
medtop:20000045,mass media,medtop:20000047,newspaper,Media addressing a large audience,"Daily or weekly publication that presents the news, locally, regionally or globally, as well as features, opinion columns, comics and other content"
medtop:20000045,mass media,medtop:20000048,online media outlet,Media addressing a large audience,"Publication distributing content, such as articles, blogs, photos, video and music, only over the internet"
medtop:20000045,mass media,medtop:20000049,periodical,Media addressing a large audience,"Publication that is usually published weekly, bi-weekly, monthly or annually, such as magazines, journals or newsletters"
medtop:20000045,mass media,medtop:20000050,radio,Media addressing a large audience,"Audio content, such as news, entertainment or information, distributed via broadcast or internet"
medtop:20000045,mass media,medtop:20000051,television,Media addressing a large audience,"Video content, such as news, entertainment or information, distributed via broadcast or internet"
medtop:20000045,mass media,medtop:20001182,social media,Media addressing a large audience,Content created to be shared within online social networks
medtop:20000045,mass media,medtop:20001319,disinformation and misinformation,Media addressing a large audience,The spread of false information regardless of intent
medtop:16000000,"conflict, war and peace",medtop:20000053,act of terror,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","Act of violence, often resulting in casualties, designed to raise fear and anxiety in a population"
medtop:16000000,"conflict, war and peace",medtop:20000056,armed conflict,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars"
medtop:16000000,"conflict, war and peace",medtop:20000065,civil unrest,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions"
medtop:16000000,"conflict, war and peace",medtop:20000070,coup d'etat,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",The overthrow of an established government by an organised military or political group
medtop:16000000,"conflict, war and peace",medtop:20000071,massacre,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","The mass killing of people, usually civilians, during wartime hostilities"
medtop:16000000,"conflict, war and peace",medtop:20000073,peace process,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","Organized actions to end a war or conflict, usually involving peace negotiations and agreements"
medtop:16000000,"conflict, war and peace",medtop:20000077,post-war reconstruction,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","Actions to rebuild a society, economy or political system in an area affected by war"
medtop:16000000,"conflict, war and peace",medtop:20001361,cyber warfare,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","Cyber attacks, or suspected attacks, involving a government entity as either the sponsor or the target, or preventive measures against these types of actions"
medtop:16000000,"conflict, war and peace",medtop:20001377,war victims,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts","Individuals who are injured or killed in a war or armed conflict, including civilians"
medtop:20000053,act of terror,medtop:20000054,act of bioterrorism,"Act of violence, often resulting in casualties, designed to raise fear and anxiety in a population",Attacks using biological agents intended to raise the level of fear within a population
medtop:20000053,act of terror,medtop:20000055,terrorist bombings,"Act of violence, often resulting in casualties, designed to raise fear and anxiety in a population","Intentional use of explosive devices on people, buildings or other structures"
medtop:20000056,armed conflict,medtop:20000057,guerrilla activity,"Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars","Anti-government or wartime actions by clandestine or non-state combatant groups, often using tactics such as ambush, sabotage, raids and kidnapping"
medtop:20000056,armed conflict,medtop:20000058,international military intervention,"Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars",The temporary use of international forces in a country or region that requires outside help with resolving a crisis
medtop:20000056,armed conflict,medtop:20000060,military occupation,"Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars",The temporary forceful taking over of a country or region by invading military forces
medtop:20000056,armed conflict,medtop:20000062,war,"Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars",Armed hostilities by one group or geopolitical entity against another
medtop:20000073,peace process,medtop:20000059,peacekeeping force,"Organized actions to end a war or conflict, usually involving peace negotiations and agreements","The military forces of a nation, or of several nations working together, whose mission is to maintain peace in areas of conflict"
medtop:20000073,peace process,medtop:20000074,peace envoy,"Organized actions to end a war or conflict, usually involving peace negotiations and agreements",Person or organisation initiating and carrying out a peace process
medtop:20000073,peace process,medtop:20000075,peace plan,"Organized actions to end a war or conflict, usually involving peace negotiations and agreements",A strategy for achieving peace in a warring nation or area of conflict
medtop:20000073,peace process,medtop:20000076,peace talks,"Organized actions to end a war or conflict, usually involving peace negotiations and agreements","Discussions between countries, world regions or geopolitical entities in conflict or at war, often with a mediator, with the goal of arriving at a solution for peace"
medtop:20000073,peace process,medtop:20000078,disarmament,"Organized actions to end a war or conflict, usually involving peace negotiations and agreements",The abolishment or reduction of a country's military weapons cache
medtop:20001377,war victims,medtop:20000061,missing in action,"Individuals who are injured or killed in a war or armed conflict, including civilians","Civilians or military personnel who have gone missing during or after hostilities, conflicts or war"
medtop:20001377,war victims,medtop:20000080,prisoners of war,"Individuals who are injured or killed in a war or armed conflict, including civilians","Individuals captured, imprisoned or detained by enemy factions during military conflicts or war"
medtop:20001377,war victims,medtop:20001378,missing in action,"Individuals who are injured or killed in a war or armed conflict, including civilians",A member of the armed forces who cannot be located and has not been confirmed as either alive or dead
medtop:20000062,war,medtop:20000063,civil war,Armed hostilities by one group or geopolitical entity against another,"Armed conflict between members of the same country, in some cases with the goal of dividing the country"
medtop:20000062,war,medtop:20000064,war crime action,Armed hostilities by one group or geopolitical entity against another,"Actions alleged as crimes committed during a war or armed conflict, usually against civilians or POWs"
medtop:20000065,civil unrest,medtop:20000066,demonstration,"Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions","A non-violent public show of support for or opposition to a cause, idea or policy, in the form of a mass meeting or march"
medtop:20000065,civil unrest,medtop:20000067,rebellion,"Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions","Organized actions of opposition to a government or ruling party by a country's residents, often violent and with the aim of overthrowing the government"
medtop:20000065,civil unrest,medtop:20000068,revolution,"Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions","A forcible and often violent change to, or overthrow of, a country's political system or social order by internal forces, in favour of a new system"
medtop:20000065,civil unrest,medtop:20000069,riot,"Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions","Violent, destructive events of civil disorder by groups of people, usually in response to a grievance or as acts of opposition, often involving injury to individuals and destruction of property"
medtop:20000082,crime,medtop:20000072,genocide,"Violations of laws by individuals, companies or organisations","The systematic killing of one clan, tribe, or religious or ethnic group by another"
medtop:20000082,crime,medtop:20000083,arson,"Violations of laws by individuals, companies or organisations",The intentional setting of fires with criminal intent
medtop:20000082,crime,medtop:20000084,assault,"Violations of laws by individuals, companies or organisations","Physical crime against a person, including battery, brawls and threat of bodily harm"
medtop:20000082,crime,medtop:20000086,cyber crime,"Violations of laws by individuals, companies or organisations","Criminal activities carried out by means of computers or the internet, such as hacking, phishing scams and identity theft"
medtop:20000082,crime,medtop:20000087,corporate crime,"Violations of laws by individuals, companies or organisations",Crimes committed by a corporation or by individuals acting on behalf of a corporation
medtop:20000082,crime,medtop:20000093,corruption,"Violations of laws by individuals, companies or organisations",Dishonest actions by a person in power in return for pecuniary or personal gain
medtop:20000082,crime,medtop:20000095,drug related crimes,"Violations of laws by individuals, companies or organisations","Illegal activities involving illicit substances, including buying, distribution, selling and smuggling"
medtop:20000082,crime,medtop:20000097,fraud,"Violations of laws by individuals, companies or organisations",Intentional deception for personal or financial gain
medtop:20000082,crime,medtop:20000098,hijacking,"Violations of laws by individuals, companies or organisations",Taking over a transportation vehicle by force
medtop:20000082,crime,medtop:20000099,homicide,"Violations of laws by individuals, companies or organisations","The killing of one person by another, including murder and manslaughter"
medtop:20000082,crime,medtop:20000100,kidnapping,"Violations of laws by individuals, companies or organisations","To seize and detain a person against that person's will by unlawful threat, force or fraud"
medtop:20000082,crime,medtop:20000101,organised crime,"Violations of laws by individuals, companies or organisations","Crimes committed by gangs or criminal organizations, such as the mafia"
medtop:20000082,crime,medtop:20000103,terrorism,"Violations of laws by individuals, companies or organisations",Violence against people to create fear in order to achieve political or ideological objectives
medtop:20000082,crime,medtop:20000104,robbery and theft,"Violations of laws by individuals, companies or organisations","The taking of another person's property without their consent, sometimes by force"
medtop:20000082,crime,medtop:20000105,war crime,"Violations of laws by individuals, companies or organisations","Crimes committed during a war or armed conflict, usually against civilians or prisoners of war, including the prosecution of such crimes"
medtop:20000082,crime,medtop:20001196,reckless driving,"Violations of laws by individuals, companies or organisations","Serious traffic violations that are likely to, or have led to, the endangerment, injury or death of a person or persons, or the endangerment of or significant property damage"
medtop:20000082,crime,medtop:20001283,human smuggling and trafficking,"Violations of laws by individuals, companies or organisations","The illegal transporting of people from one country or area to another. When the result is forced labour or sexual exploitation, the crime is considered trafficking."
medtop:20000082,crime,medtop:20001285,vandalism,"Violations of laws by individuals, companies or organisations",Deliberately damaging or destroying public or private property
medtop:20000082,crime,medtop:20001313,shootings,"Violations of laws by individuals, companies or organisations",An act of violence committed by individuals with the use of armed weapons
medtop:20000082,crime,medtop:20001314,animal abuse,"Violations of laws by individuals, companies or organisations",The infliction of cruelty or neglect onto animals by humans
medtop:20000082,crime,medtop:20001320,torture,"Violations of laws by individuals, companies or organisations",Intentionally inflicting severe physical or psychological pain in order to punish the victim or get the victim to take an action or give information
medtop:20000077,post-war reconstruction,medtop:20000079,ordnance clearance,"Actions to rebuild a society, economy or political system in an area affected by war",The removal or neutralisation of ordnance such as landmines or cluster bombs that may remain after a war or armed conflict on public ground
medtop:02000000,"crime, law and justice",medtop:20000082,crime,"The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities","Violations of laws by individuals, companies or organisations"
medtop:02000000,"crime, law and justice",medtop:20000106,judiciary,"The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",The system of courts of law
medtop:02000000,"crime, law and justice",medtop:20000119,justice,"The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",The equitable administration of laws and regulations
medtop:02000000,"crime, law and justice",medtop:20000121,law,"The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",The codification of rules of behaviour
medtop:02000000,"crime, law and justice",medtop:20000129,law enforcement,"The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",Agencies that attempt to prevent disobedience to established laws or bring to justice those who disobey those laws
medtop:20000084,assault,medtop:20000085,sex crime,"Physical crime against a person, including battery, brawls and threat of bodily harm","Sexual crimes against a person, such as rape, harassment, molestation or groping"
medtop:20000087,corporate crime,medtop:20000088,anti-trust crime,Crimes committed by a corporation or by individuals acting on behalf of a corporation,Violations of laws aimed at corporations to promote fair competition for the benefit of consumers
medtop:20000087,corporate crime,medtop:20000089,breach of contract,Crimes committed by a corporation or by individuals acting on behalf of a corporation,The breaking of terms set in a contractual agreement
medtop:20000087,corporate crime,medtop:20000090,embezzlement,Crimes committed by a corporation or by individuals acting on behalf of a corporation,The intentional theft or misuse of money left in one's care or belonging to one's employer
medtop:20000087,corporate crime,medtop:20000091,insider trading,Crimes committed by a corporation or by individuals acting on behalf of a corporation,Trading of stocks by persons having access to internal information not made public at the time
medtop:20000087,corporate crime,medtop:20000092,restraint of trade,Crimes committed by a corporation or by individuals acting on behalf of a corporation,Interference in free competition in business and trade
medtop:20000087,corporate crime,medtop:20001194,accounting crime,Crimes committed by a corporation or by individuals acting on behalf of a corporation,"The intentional misrepresentation or alteration of accounting records regarding sales, revenues, expenses and other factors"
medtop:20000093,corruption,medtop:20000094,bribery,Dishonest actions by a person in power in return for pecuniary or personal gain,The giving of money or favours in order to influence the judgment or conduct of a person in a position of power
medtop:20000095,drug related crimes,medtop:20000096,drug trafficking,"Illegal activities involving illicit substances, including buying, distribution, selling and smuggling",Dealing in illicit often harmful substances
medtop:20000101,organised crime,medtop:20000102,gang activity,"Crimes committed by gangs or criminal organizations, such as the mafia","Criminal activities by groups of individuals, who are allied by common territories, languages or ethnic backgrounds and identify by a common group identity by using a shared name, tattoo, hand sign, clothing style or graffiti symbol"
medtop:20000106,judiciary,medtop:20000107,court,The system of courts of law,Place where legal cases are heard and decided
medtop:20000106,judiciary,medtop:20000116,out of court procedures,The system of courts of law,Legal issues which are settled outside of court
medtop:20000106,judiciary,medtop:20000118,prosecution and prosecutors,The system of courts of law,The process of holding a trial against a person who is accused of a crime to determine guilt and the lawyers and legal team who argue that the accused is guilty
medtop:20000107,court,medtop:20000108,appeal (court),Place where legal cases are heard and decided,Process in which parties request a formal change to an official decision
medtop:20000107,court,medtop:20000109,court administration,Place where legal cases are heard and decided,"Court clerks, bailiffs, stenographers etc."
medtop:20000107,court,medtop:20000110,judge,Place where legal cases are heard and decided,Official who decides cases in a court of law and passes sentences on those found guilty
medtop:20000107,court,medtop:20000111,trial (court),Place where legal cases are heard and decided,"The process by which evidence is presented and guilt, innocence or culpability is determined"
medtop:20000107,court,medtop:20001287,supreme and high court,Place where legal cases are heard and decided,"matters related to supreme or high courts, including nominations and rulings"
medtop:20000111,trial (court),medtop:20000112,pre-trial,"The process by which evidence is presented and guilt, innocence or culpability is determined","Actions that happen before the start of a trial, such as pleas, bail motions, discovery and depositions"
medtop:20000111,trial (court),medtop:20000113,defendant,"The process by which evidence is presented and guilt, innocence or culpability is determined",The person on trial
medtop:20000111,trial (court),medtop:20000114,litigation,"The process by which evidence is presented and guilt, innocence or culpability is determined",Taking disputed issues to court for settlement by judge and/or jury
medtop:20000111,trial (court),medtop:20000115,witness,"The process by which evidence is presented and guilt, innocence or culpability is determined",A person who testifies
medtop:20000111,trial (court),medtop:20000134,sentencing (criminal),"The process by which evidence is presented and guilt, innocence or culpability is determined",The retribution handed out to those who break laws
medtop:20000116,out of court procedures,medtop:20000117,arbitration and mediation,Legal issues which are settled outside of court,"Resolution of disputed issues by a neutral panel, including conciliation, negotiation and tribunals"
medtop:20000587,fundamental rights,medtop:20000120,civil rights,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law","Guarantees of protection to individuals  freedom from violation by governments, political and social organisations, and other individuals as determined by the laws or constitutions of an individual country"
medtop:20000587,fundamental rights,medtop:20000588,censorship and freedom of speech,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law",The right to express opinions without restraint and attempts to supress speech by an organisation or individual
medtop:20000587,fundamental rights,medtop:20000590,freedom of religion,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law",The right to practice the religion of one's choosing and efforts to violate this right through the intimidation of believers or laws that encroach on religious rituals
medtop:20000587,fundamental rights,medtop:20000591,freedom of the press,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law","The right of the press to report on stories freely and efforts by governments, organizations or individuals to suppress, jail or kill journalists who are reporting the news"
medtop:20000587,fundamental rights,medtop:20000592,human rights,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law",Rights entitled to be enjoyed by all people universally
medtop:20000587,fundamental rights,medtop:20001300,privacy,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law",The right of an individual or group to keep information about themselves private
medtop:20000587,fundamental rights,medtop:20001326,women's rights,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law","The rights of women to be treated equally as men, such as pay parity, feminism and bodily autonomy around abortion"
medtop:20000121,law,medtop:20000122,civil law,The codification of rules of behaviour,"The system of law focused on private rights and disputes between individuals in such areas as contracts, torts, property, and family law"
medtop:20000121,law,medtop:20000125,criminal law,The codification of rules of behaviour,The system of law concerned with the punishment of those who commit crimes
medtop:20000121,law,medtop:20000126,international law,The codification of rules of behaviour,"The system of laws embraced by all nations, such as the Geneva Convention and the International Law of the Seas"
medtop:20000121,law,medtop:20001197,administrative law,The codification of rules of behaviour,Body of law that governs the actions of governmental administrative agencies
medtop:20000124,regulations,medtop:20000123,antitrust regulations,laws that guide the conduct and organization of business corporations,laws to promote competition between companies for the benefit of consumers
medtop:20000122,civil law,medtop:20000124,regulations,"The system of law focused on private rights and disputes between individuals in such areas as contracts, torts, property, and family law",laws that guide the conduct and organization of business corporations
medtop:20000126,international law,medtop:20000127,extradition,"The system of laws embraced by all nations, such as the Geneva Convention and the International Law of the Seas",Legal transfer of criminals or suspects between countries
medtop:20000126,international law,medtop:20000128,international court and tribunal,"The system of laws embraced by all nations, such as the Geneva Convention and the International Law of the Seas","The activities of courts under the authority of international organizations or formed by treaties between nations, such as the European Court for Human Rights and International Court of Justice"
medtop:20000129,law enforcement,medtop:20000130,arrest,Agencies that attempt to prevent disobedience to established laws or bring to justice those who disobey those laws,The detention of a suspect of a crime
medtop:20000129,law enforcement,medtop:20000131,investigation (criminal),Agencies that attempt to prevent disobedience to established laws or bring to justice those who disobey those laws,"Inquiry into an alleged crime, including searching, interviews, interrogations and evidence collection"
