qcode,label,parents,definition
medtop:20000097,fraud,medtop:20000082,Intentional deception for personal or financial gain
medtop:20000098,hijacking,medtop:20000082,Taking over a transportation vehicle by force
medtop:20000099,homicide,medtop:20000082,"The killing of one person by another, including murder and manslaughter"
medtop:20000100,kidnapping,medtop:20000082,"To seize and detain a person against that person's will by unlawful threat, force or fraud"
medtop:20000101,organised crime,medtop:20000082,"Crimes committed by gangs or criminal organizations, such as the mafia"
medtop:20000102,gang activity,medtop:20000101,"Criminal activities by groups of individuals, who are allied by common territories, languages or ethnic backgrounds and identify by a common group identity by using a shared name, tattoo, hand sign, clothing style or graffiti symbol"
medtop:20000103,terrorism,medtop:20000082,Violence against people to create fear in order to achieve political or ideological objectives
medtop:20000104,robbery and theft,medtop:20000082,"The taking of another person's property without their consent, sometimes by force"
medtop:20000105,war crime,medtop:20000082,"Crimes committed during a war or armed conflict, usually against civilians or prisoners of war, including the prosecution of such crimes"
medtop:20000106,judiciary,medtop:02000000,The system of courts of law
medtop:20000107,court,medtop:20000106,Place where legal cases are heard and decided
medtop:20000108,appeal (court),medtop:20000107,Process in which parties request a formal change to an official decision
medtop:20000109,court administration,medtop:20000107,"Court clerks, bailiffs, stenographers etc."
medtop:20000110,judge,medtop:20000107,Official who decides cases in a court of law and passes sentences on those found guilty
medtop:20000111,trial (court),medtop:20000107,"The process by which evidence is presented and guilt, innocence or culpability is determined"
medtop:20000112,pre-trial,medtop:20000111,"Actions that happen before the start of a trial, such as pleas, bail motions, discovery and depositions"
medtop:20000113,defendant,medtop:20000111,The person on trial
medtop:20000114,litigation,medtop:20000111,Taking disputed issues to court for settlement by judge and/or jury
medtop:20000115,witness,medtop:20000111,A person who testifies
medtop:20000116,out of court procedures,medtop:20000106,Legal issues which are settled outside of court
medtop:20000117,arbitration and mediation,medtop:20000116,"Resolution of disputed issues by a neutral panel, including conciliation, negotiation and tribunals"
medtop:20000118,prosecution and prosecutors,medtop:20000106,The process of holding a trial against a person who is accused of a crime to determine guilt and the lawyers and legal team who argue that the accused is guilty
medtop:20000119,justice,medtop:02000000,The equitable administration of laws and regulations
medtop:20000120,civil rights,medtop:20000587,"Guarantees of protection to individuals  freedom from violation by governments, political and social organisations, and other individuals as determined by the laws or constitutions of an individual country"
medtop:20000121,law,medtop:02000000,The codification of rules of behaviour
medtop:20000122,civil law,medtop:20000121,"The system of law focused on private rights and disputes between individuals in such areas as contracts, torts, property, and family law"
medtop:20000123,antitrust regulations,medtop:20000124,laws to promote competition between companies for the benefit of consumers
medtop:20000124,regulations,medtop:20000122,laws that guide the conduct and organization of business corporations
medtop:20000125,criminal law,medtop:20000121,The system of law concerned with the punishment of those who commit crimes
medtop:20000126,international law,medtop:20000121,"The system of laws embraced by all nations, such as the Geneva Convention and the International Law of the Seas"
medtop:20000127,extradition,medtop:20000126,Legal transfer of criminals or suspects between countries
medtop:20000128,international court and tribunal,medtop:20000126,"The activities of courts under the authority of international organizations or formed by treaties between nations, such as the European Court for Human Rights and International Court of Justice"
medtop:20000129,law enforcement,medtop:02000000,Agencies that attempt to prevent disobedience to established laws or bring to justice those who disobey those laws
medtop:20000130,arrest,medtop:20000129,The detention of a suspect of a crime
medtop:20000131,investigation (criminal),medtop:20000129,"Inquiry into an alleged crime, including searching, interviews, interrogations and evidence collection"
medtop:20000132,missing person,medtop:20000131,"An adult whose disappearance is possibly not voluntary, or a child whose whereabouts are unknown to the child's legal guardian"
medtop:20000133,police,medtop:20000129,"Civil force of a national, regional or local government that is responsible for the prevention and detection of crime and the maintenance of public order"
medtop:20000134,sentencing (criminal),medtop:20000111,The retribution handed out to those who break laws
medtop:20000135,capital punishment,medtop:20000134,The legally authorised execution of someone as punishment for a crime
medtop:20000136,fine (penalty),medtop:20000134,Money that a court of law or other authority decides has to be paid as punishment for a crime or other offence
medtop:20000137,prison,medtop:20000134,Facility where people are held as a punishment for a crime they have committed or while awaiting trial
medtop:20000139,accident and emergency incident,medtop:03000000,"A sudden, unexpected event that causes unwanted consequences or requires immediate action"
medtop:20000140,explosion accident and incident,medtop:20000139,"Explosions caused by an accidental, non-combat, or non-terrorism source. Also use when the source of the explosion is non-specified or unknown"
medtop:20000141,industrial accident and incident,medtop:20000139,Any unplanned event or mishap in an industrial setting that result in injuries to people and damage to property or the environment
medtop:20000142,nuclear accident and incident,medtop:20000141,Any unplanned event that causes unwanted consequences involving radioactive materials
medtop:20000143,transportation accident and incident,medtop:20000139,An accident or incident involving one or more vehicles
medtop:20000144,air and space accident and incident,medtop:20000143,An accident or incident involving aircrafts or spacecrafts
medtop:20000145,maritime accident and incident,medtop:20000143,An accident or incident involving marine vessels.
medtop:20000146,railway accident and incident,medtop:20000143,An accident or incident involving trains.
medtop:20000147,road accident and incident,medtop:20000143,An accident or incident involving road vehicles.
medtop:20000148,disaster,medtop:03000000,"A sudden, unplanned event that causes great damage or loss of life, such as an accident or a natural catastrophe"
medtop:20000149,famine,medtop:20000148,Severe lack of food for a large population
medtop:20000150,fire,medtop:20000148,"Fires started by an accidental or unknown source. For wildfires, use wildfire. For fires started with a criminal intent, use arson."
medtop:20000151,natural disaster,medtop:20000148,"Destructive incidents caused by nature, such as earthquakes and floods"
medtop:20000152,drought,medtop:20000151,A severe lack of water over a period of time
medtop:20000153,earthquake,medtop:20000151,"The shifting of the tectonic plates of the Earth, creating in some cases damage to structures"
medtop:20000154,flood,medtop:20000151,"Surfeit of water, caused by heavy rains or melting snow, usually in places where it's not wanted"
medtop:20000155,landslide,medtop:20000151,Sudden dislodging of massive amounts of snow or soil
medtop:20000156,avalanche,medtop:20000155,"A sudden fall of snow, ice, rock, or mud down the side of a mountain"
medtop:20000157,meteorological disaster,medtop:20000151,A weather-related disaster
medtop:20000158,windstorms,medtop:20000157,A storm with very strong wind but little or no rain or snow
medtop:20000159,volcanic eruption,medtop:20000151,A rupture in the crust of the Earth allowing molten material to escape to the surface
medtop:20000160,emergency incident,medtop:03000000,"A sudden, unexpected event that requires immediate action to prevent serious consequences"
medtop:20000161,structural failure,medtop:20000139,"The unexpected collapse of a building, bridge or other structure"
medtop:20000162,transport incident,medtop:20000160,An incident involving one or more vehicles
medtop:20000163,air and space incident,medtop:20000162,Incident involving craft in air or space.
medtop:20000164,maritime incident,medtop:20000162,Incident involving marine vessels.
medtop:20000165,railway incident,medtop:20000162,Incident involving trains.
medtop:20000166,road incident,medtop:20000162,Incident involving road vehicles.
medtop:20000167,emergency planning,medtop:03000000,"Planning for actions to deal with sudden, unplanned events"
medtop:20000168,emergency response,medtop:03000000,"The planning and efforts made by people and organizations to help victims of a sudden, unplanned event, natural disaster or crisis"
medtop:20000170,business information,medtop:04000000,"Information about individual business entities, including companies, corporations, charities"
medtop:20000171,business finance,medtop:20000170,A business entity's finances
medtop:20000172,accounting and audit,medtop:20001365,Changes regarding applicable accounting rules and the audit of accounting
medtop:20000173,analysts comment,medtop:20000171,"Stock analyst comments, analysis and recommendations."
medtop:20000174,bankruptcy,medtop:20000183,Organisations that cannot pay their debts and file for special treatment by governments and financial systems
medtop:20000175,stock buyback,medtop:20000396,Corporate actions in which companies buy back their own shares
medtop:20000176,credit rating,medtop:20001365,Formal statements by certain rating agencies on the investment risk of a company or enterprise
medtop:20000177,corporate dividends,medtop:20000396,Distribution of company profits to shareholders via dividend payments
medtop:20000178,corporate earnings,medtop:20001365,Announcements and discussions of corporate earnings
medtop:20000179,earnings forecast,medtop:20001365,Analyst prediction of company earnings.
medtop:20000180,financial statement,medtop:20001365,Formal statements about the company financials typically delivered annually or quarterly
medtop:20000181,proxy filing,medtop:20000199,Filings with regulatory agencies of proxy statements for upcoming shareholder votes.
medtop:20000182,financially distressed company,medtop:20000183,Indications that a company is financially distressed but not having filed for bankruptcy yet
medtop:20000183,business financing,medtop:20000170,"The financing, capital structuring, and investment decisions of a business"
medtop:20000184,restructuring and recapitalisation,medtop:20000183,"The sale of company units, splits of existing companies into units under a holding company, etc."
medtop:20000185,shareholder activity,medtop:20000199,"Actions taken by owners of one or more shares of a company, including shareholder activism"
medtop:20000186,stock activity,medtop:20000396,"Announcements of major stock events: splits, block trades, new highs or lows, etc."
medtop:20000187,stock flotation,medtop:20000396,"The issuing of stock shares to the public for the first time, also called an Initial Public Offering (IPO)"
medtop:20000188,human resources,medtop:20000170,People working for a business and how they are managed
medtop:20000189,layoffs and downsizing,medtop:20000188,Planned or actual reductions in the labour force.
medtop:20000190,executive officer,medtop:20000188,Company executive officers including appointments and changes
medtop:20000191,stock option,medtop:20000394,"An agreement to either buy or sell a stock when it meets a certain price, sometimes used as an incentive for employees and officers of a company"
medtop:20000192,business strategy and marketing,medtop:20000170,Planning the direction of a company and selling its products and services to achieve the strategy
medtop:20000193,annual and special corporate meeting,medtop:20000199,News surrounding company reports and annual or special corporate meetings
medtop:20000194,annual report,medtop:20000199,Availability or contents of annual company reports.
medtop:20000195,board of directors,medtop:20000199,Appointments to or changes in the board of directors for a company.
medtop:20000196,commercial contract,medtop:20000192,Contracts regarding commercial activities
medtop:20000197,company spin-off,medtop:20001366,The creation of new companies being spun off from existing companies
medtop:20000198,economic globalisation,medtop:20000192,Doing business around the world
medtop:20000199,business governance,medtop:20000170,"The rules, practices, and processes used to oversee and manage a company"
medtop:20000200,joint venture,medtop:20001366,Two or more companies agreeing on a venture.
medtop:20000201,leveraged buyout,medtop:20001366,Acquiring control over a company by buying its shares with borrowed money.
medtop:20000202,licensing agreement,medtop:20000192,The document defining the terms for licensing intellectual property
medtop:20000203,management buyout,medtop:20001366,Acquiring control over a company by the management buying its shares.
medtop:20000204,merger or acquisition,medtop:20001366,"Two or more companies forming a new company mergers, takeovers or acquisitions."
medtop:20000205,new product or service,medtop:20000192,The introduction of products or services to the market
medtop:20000206,"patent, copyright and trademark",medtop:20000192,"Intellectual properties such as patents, copyright and trademarks"
medtop:20000207,product recall,medtop:20000192,A decision by a company to take back or repair a defective product
medtop:20000208,research and development,medtop:20000192,Research and expenditure on new product or service development
medtop:20000209,products and services,medtop:04000000,Products and services consumed by companies and individuals and the companies that manufacture or manage them
medtop:20000210,agriculture,medtop:20000209,"The growing and raising of plants and animals for consumption and the processing, cleaning, packing or storage of these products"
medtop:20000211,aquaculture,medtop:20000210,Growing plants or animals in water for human consumption
medtop:20000212,arable farming,medtop:20000210,"The growing of plants on a large scale commercially, especially a cereal, fruit, grain or vegetable"
medtop:20000213,commercial fishing,medtop:20000209,Fish farming and commercial activity around the catching of fish and seafood for consumption
medtop:20000214,forestry and timber,medtop:20000209,"The production, collection and preparation of wood products"
medtop:20000215,livestock farming,medtop:20000210,"Raising of animals for their by-products, such as meat, eggs, milk, fur and wool"
medtop:20000216,viniculture,medtop:20000210,Production of wines from the vines to the finished products
medtop:20000217,chemicals,medtop:20000209,Natural or manmade materials used to produce other materials
medtop:20000218,biotechnology business,medtop:20001354,The business of using engineering technology to study and solve problems of living organisms
medtop:20000219,fertiliser,medtop:20000217,Natural or manmade materials used to encourage the growth of plants
medtop:20000220,health and beauty product,medtop:20000217,Compilation of chemicals and other substances for use in enhancing ones looks or smell
medtop:20000221,inorganic chemical,medtop:20000217,The branch of chemistry dealing with minerals and metals
medtop:20000222,organic chemical,medtop:20000217,"The branch of chemistry dealing with human, animal or carbon-based substances"
medtop:20000223,pharmaceutical,medtop:20001354,The production of medicines from various chemicals and natural substances and the research and discovery around new medications
medtop:20000224,plastic,medtop:20000209,"The production of plastics and issues around plastic consumption, including bans, recycling, using less plastics and plastic alternatives"
medtop:20000225,computing and information technology,medtop:20000209,Computers and the transmission of information
medtop:20000226,computer and telecommunications hardware,medtop:20000225,"Physical devices used to provide computer and telecommunication service, such as modems, keyboards, hard drives, telephones, routers and monitors"
medtop:20000227,computer networking,medtop:20000225,The interconnectivity between hardware that provides the medium for the transmission of data.
medtop:20000228,satellite technology,medtop:20000225,Hardware and software that enables ground-based devices to send signals to each other via an orbiting satellite.
medtop:20000229,computer security,medtop:20000225,"To encompass technical developments in hardware and software, basic research and related areas such as cyber security"
medtop:20000230,semiconductor and electronic component,medtop:20000225,"The basic components that together create working electronic devices such as computer chips, transistors, diodes and integrated circuits"
medtop:20000231,software and applications,medtop:20000225,Computer programs including mobile or web apps and operating systems
medtop:20000232,telecommunication equipment,medtop:20000225,"Devices such as telephone sets, voice/data switches, modems etc that facilitate point-to-point voice/data transmissions"
medtop:20000233,telecommunication service,medtop:20000225,Services provided by commercial companies that facilitate connections between telephones and computers
medtop:20000234,wireless technology,medtop:20000225,"Technology and services that permit the transfer of information between separated points without physical connection, including Bluetooth and Wi-Fi networks"
medtop:20000235,construction and property,medtop:20000209,All items pertaining to the construction and sale of property
medtop:20000236,design and engineering,medtop:20000235,"Design and planning by engineers, architects etc. of roads, offices, factories, dams , offshore structures."
medtop:20000237,farms,medtop:20000235,"Agricultural areas for the production of foodstuffs, including dairy products, fruits and livestock, such as cattle and fish"
medtop:20000238,heavy construction,medtop:20000235,"Large scale construction projects, construction of roads, dams, office/factory buildings, offshore and onshore structures, large sport stadiums"
medtop:20000239,house building,medtop:20000235,"Construction of residences, for private use"
medtop:20000240,land price,medtop:20000235,"The price of land in specific zoned areas such as commercial, residential or arable as provided by a responsible body"
medtop:20000241,real estate,medtop:20000235,"The buying, selling, renting and leasing of properties of all types"
medtop:20000242,restoration,medtop:20000044,"Restoring historic or important properties or structures to a former better state by cleaning, repairing or rebuilding"
medtop:20000243,consumer goods,medtop:20000209,Items produced for and sold to individuals
medtop:20000244,beverage,medtop:20000243,"Liquid consumables, both alcoholic and non-alcoholic"
medtop:20000245,clothing,medtop:20000243,The manufacturing and purchasing of apparel
medtop:20000246,department store,medtop:20000252,"Store selling a variety of goods, such as clothing, housewares, jewellery and cosmetics"
medtop:20000247,online shopping,medtop:20000252,Buying and selling items through the internet
medtop:20000248,grocery,medtop:20000243,The selling of edible goods for human consumption to the end customers
medtop:20000249,luxury good,medtop:20000243,"Non-essential high-end goods, such as leather bags, jewellery or supercars"
medtop:20000250,mail order,medtop:20000252,Items sold through and delivered by mail
medtop:20000251,non-durable good,medtop:20000243,Products meant to only be used for a short period of time
medtop:20000252,retail,medtop:20001289,The selling of goods directly to consumers
medtop:20000253,specialty store,medtop:20000252,"Retail outlets that specialise in categories such as shoes, coats, power tools, etc"
medtop:20000254,toy and game,medtop:20000243,"Children's playthings or collectible items for adults, such as dolls, action figures and miniatures"
medtop:20000255,wholesale,medtop:20001289,The first link in the sales chain after production
medtop:20000256,energy and resource,medtop:20000209,The use of natural resources to generate energy
medtop:20000257,renewable energy,medtop:20000256,Energy derived from sustainable sources
medtop:20000258,coal,medtop:20000256,Production and mining of anthracite and bituminous products for use in power production
medtop:20000259,diesel fuel,medtop:20001243,"A distilled petroleum product heavier than gasoline used for trucks, marine engines, certain cars and in some forms for home heating"
medtop:20000260,electricity,medtop:20001244,The power line distribution system and the sale of electrical power at wholesale and retail levels
medtop:20000261,energy industry,medtop:20000256,"The energy industry, not focused on any specific sector"
medtop:20000262,kerosene/paraffin,medtop:20001243,"A light petroleum distillate used for cooking fuel, aircraft jet engines, lamps, heating and cleaning"
medtop:20000263,natural gas,medtop:20001243,"A natural resource, mainly methane in a flammable gaseous state extracted from the ground"
medtop:20000265,nuclear power,medtop:20000256,Use of radioactive materials for power production
medtop:20000266,oil and gas - downstream activities,medtop:20000256,"All matters concerning oil and gas, typically refining and distribution activities"
medtop:20000267,oil and gas - upstream activities,medtop:20000256,"All matters concerning oil and gas, typically supply chain activities from the reservoir to the refinery gate"
medtop:20000268,petrol,medtop:20001243,"Distilled petroleum product used for automotive fuel, with or without additives"
medtop:20000269,waste management,medtop:20001244,"The collecting, disposing or recycling of household and business waste"
medtop:20000270,water supply,medtop:20001244,The business of providing water for household and commercial use
medtop:20000271,financial and business service,medtop:20000209,"Services that transmit, safeguard, keep track of money or provide backup to commercial enterprises"
medtop:20000272,accountancy and auditing,medtop:20001370,Companies that provide balance sheet preparation and budget reconciliation services and examine accuracy of financial statements
medtop:20000273,auction,medtop:20001289,"Auction houses and all types of auctions, such as police auctions and silent auctions"
medtop:20000274,banking,medtop:20001370,"Financial institutions and services for storing, transmitting, receiving and delivering money"
medtop:20000275,consultancy,medtop:20001371,"Providers of expert knowledge in a wide range of fields usually on a temporary, contract basis"
medtop:20000276,employment agency,medtop:20001371,"A service helping people find jobs, and companies to find workers"
medtop:20000277,funeral parlour and crematorium,medtop:20000271,Companies that provide services for disposal of the dead
medtop:20000278,health care provider,medtop:20001354,Organisations and individuals that provide medical services at all levels
